pathway	DB	n	statistic	df	p	method
Depolymerisation of the Nuclear Lamina Homo sapiens R-HSA-4419969	Reactome_2016	63	0.023341049382708	1	0.879	Kruskal-Wallis
Deposition of new CENPA-containing nucleosomes at the centromere Homo sapiens R-HSA-606279	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Detoxification of Reactive Oxygen Species Homo sapiens R-HSA-3299685	Reactome_2016	63	0.0771604938271651	1	0.781	Kruskal-Wallis
Developmental Biology Homo sapiens R-HSA-1266738	Reactome_2016	63	0.145376344086031	1	0.703	Kruskal-Wallis
Digestion of dietary lipid Homo sapiens R-HSA-192456	Reactome_2016	63	0.0192901234568126	1	0.89	Kruskal-Wallis
Disassembly of the destruction complex and recruitment of AXIN to the membrane Homo sapiens R-HSA-4641262	Reactome_2016	63	1.17361111111111	1	0.279	Kruskal-Wallis
Disease Homo sapiens R-HSA-1643685	Reactome_2016	63	0.00107478728170918	1	0.974	Kruskal-Wallis
Diseases associated with glycosaminoglycan metabolism Homo sapiens R-HSA-3560782	Reactome_2016	63	0.604938271604908	1	0.437	Kruskal-Wallis
Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	Reactome_2016	63	0.815007716049394	1	0.367	Kruskal-Wallis
Diseases associated with the TLR signaling cascade Homo sapiens R-HSA-5602358	Reactome_2016	63	0.111111111111114	1	0.739	Kruskal-Wallis
Diseases of glycosylation Homo sapiens R-HSA-3781865	Reactome_2016	63	0.0123456790123271	1	0.912	Kruskal-Wallis
Diseases of Immune System Homo sapiens R-HSA-5260271	Reactome_2016	63	0.111111111111114	1	0.739	Kruskal-Wallis
Diseases of metabolism Homo sapiens R-HSA-5668914	Reactome_2016	63	0.0123456790123271	1	0.912	Kruskal-Wallis
Diseases of signal transduction Homo sapiens R-HSA-5663202	Reactome_2016	63	0.891975308641975	1	0.345	Kruskal-Wallis
Disorders of transmembrane transporters Homo sapiens R-HSA-5619115	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
DNA Damage Bypass Homo sapiens R-HSA-73893	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
DNA Damage Recognition in GG-NER Homo sapiens R-HSA-5696394	Reactome_2016	63	0.521604938271565	1	0.47	Kruskal-Wallis
DNA Damage/Telomere Stress Induced Senescence Homo sapiens R-HSA-2559586	Reactome_2016	63	0.340277777777771	1	0.56	Kruskal-Wallis
DNA Double Strand Break Response Homo sapiens R-HSA-5693606	Reactome_2016	63	4.22530864197532	1	0.0398	Kruskal-Wallis
DNA Double-Strand Break Repair Homo sapiens R-HSA-5693532	Reactome_2016	63	2.16743827160491	1	0.141	Kruskal-Wallis
DNA Repair Homo sapiens R-HSA-73894	Reactome_2016	63	1.59741512345681	1	0.206	Kruskal-Wallis
DNA Replication Homo sapiens R-HSA-69306	Reactome_2016	63	0.626736111111114	1	0.429	Kruskal-Wallis
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002	Reactome_2016	63	0.626736111111114	1	0.429	Kruskal-Wallis
DNA strand elongation Homo sapiens R-HSA-69190	Reactome_2016	63	1.36111111111111	1	0.243	Kruskal-Wallis
Dopamine Neurotransmitter Release Cycle Homo sapiens R-HSA-212676	Reactome_2016	63	0.0771604938271651	1	0.781	Kruskal-Wallis
Downregulation of SMAD2/3:SMAD4 transcriptional activity Homo sapiens R-HSA-2173795	Reactome_2016	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Downregulation of TGF-beta receptor signaling Homo sapiens R-HSA-2173788	Reactome_2016	63	0.340277777777771	1	0.56	Kruskal-Wallis
Downstream signal transduction Homo sapiens R-HSA-186763	Reactome_2016	63	0.717785493827165	1	0.397	Kruskal-Wallis
Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696	Reactome_2016	63	0.790123456790155	1	0.374	Kruskal-Wallis
Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708	Reactome_2016	63	0.790123456790155	1	0.374	Kruskal-Wallis
Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716	Reactome_2016	63	0.790123456790155	1	0.374	Kruskal-Wallis
Downstream TCR signaling Homo sapiens R-HSA-202424	Reactome_2016	63	0.40817901234567	1	0.523	Kruskal-Wallis
Dual Incision in GG-NER Homo sapiens R-HSA-5696400	Reactome_2016	63	1.49382716049382	1	0.222	Kruskal-Wallis
Dual incision in TC-NER Homo sapiens R-HSA-6782135	Reactome_2016	63	1.4266975308642	1	0.232	Kruskal-Wallis
E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	Reactome_2016	63	0.583526234567898	1	0.445	Kruskal-Wallis
ECM proteoglycans Homo sapiens R-HSA-3000178	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Effects of PIP2 hydrolysis Homo sapiens R-HSA-114508	Reactome_2016	63	0.162229938271565	1	0.687	Kruskal-Wallis
EGFR downregulation Homo sapiens R-HSA-182971	Reactome_2016	63	0.0326003086419746	1	0.857	Kruskal-Wallis
EGFR interacts with phospholipase C-gamma Homo sapiens R-HSA-212718	Reactome_2016	63	2.68595679012344	1	0.101	Kruskal-Wallis
Eicosanoid ligand-binding receptors Homo sapiens R-HSA-391903	Reactome_2016	63	4.05574845679016	1	0.044	Kruskal-Wallis
Elastic fibre formation Homo sapiens R-HSA-1566948	Reactome_2016	63	1.85262345679016	1	0.173	Kruskal-Wallis
Elevation of cytosolic Ca2+ levels Homo sapiens R-HSA-139853	Reactome_2016	63	1.52797067901233	1	0.216	Kruskal-Wallis
Elongation arrest and recovery Homo sapiens R-HSA-112387	Reactome_2016	63	1.70447530864197	1	0.192	Kruskal-Wallis
Endogenous sterols Homo sapiens R-HSA-211976	Reactome_2016	63	0.865933641975317	1	0.352	Kruskal-Wallis
Endosomal Sorting Complex Required For Transport (ESCRT) Homo sapiens R-HSA-917729	Reactome_2016	63	1.52797067901233	1	0.216	Kruskal-Wallis
Energy dependent regulation of mTOR by LKB1-AMPK Homo sapiens R-HSA-380972	Reactome_2016	63	0.197530864197546	1	0.657	Kruskal-Wallis
eNOS activation and regulation Homo sapiens R-HSA-203765	Reactome_2016	63	4.57484567901233	1	0.0324	Kruskal-Wallis
EPH-ephrin mediated repulsion of cells Homo sapiens R-HSA-3928665	Reactome_2016	63	0.222993827160508	1	0.637	Kruskal-Wallis
EPH-Ephrin signaling Homo sapiens R-HSA-2682334	Reactome_2016	63	0.0557484567901554	1	0.813	Kruskal-Wallis
EPHA-mediated growth cone collapse Homo sapiens R-HSA-3928663	Reactome_2016	63	0.222993827160508	1	0.637	Kruskal-Wallis
EPHB-mediated forward signaling Homo sapiens R-HSA-3928662	Reactome_2016	63	0.482253086419774	1	0.487	Kruskal-Wallis
Ephrin signaling Homo sapiens R-HSA-3928664	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Epigenetic regulation of gene expression Homo sapiens R-HSA-212165	Reactome_2016	63	0.00308641975308888	1	0.956	Kruskal-Wallis
ER to Golgi Anterograde Transport Homo sapiens R-HSA-199977	Reactome_2016	63	0.356674382716051	1	0.55	Kruskal-Wallis
ER-Phagosome pathway Homo sapiens R-HSA-1236974	Reactome_2016	63	0.0123456790123271	1	0.912	Kruskal-Wallis
ERBB2 Regulates Cell Motility Homo sapiens R-HSA-6785631	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression Homo sapiens R-HSA-427389	Reactome_2016	63	1	1	0.317	Kruskal-Wallis
ERK/MAPK targets Homo sapiens R-HSA-198753	Reactome_2016	63	0.0625	1	0.803	Kruskal-Wallis
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	Reactome_2016	63	0.0326003086419746	1	0.857	Kruskal-Wallis
Eukaryotic Translation Initiation Homo sapiens R-HSA-72613	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	Reactome_2016	63	0.130401234567898	1	0.718	Kruskal-Wallis
Export of Viral Ribonucleoproteins from Nucleus Homo sapiens R-HSA-168274	Reactome_2016	63	2.640625	1	0.104	Kruskal-Wallis
Extension of Telomeres Homo sapiens R-HSA-180786	Reactome_2016	63	1.52797067901233	1	0.216	Kruskal-Wallis
Extracellular matrix organization Homo sapiens R-HSA-1474244	Reactome_2016	63	0.30864197530866	1	0.579	Kruskal-Wallis
Factors involved in megakaryocyte development and platelet production Homo sapiens R-HSA-983231	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Fanconi Anemia Pathway Homo sapiens R-HSA-6783310	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
Fatty acids Homo sapiens R-HSA-211935	Reactome_2016	63	0.694444444444457	1	0.405	Kruskal-Wallis
Fatty Acyl-CoA Biosynthesis Homo sapiens R-HSA-75105	Reactome_2016	63	1.265625	1	0.261	Kruskal-Wallis
Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202	Reactome_2016	63	1.32889660493825	1	0.249	Kruskal-Wallis
FCERI mediated Ca+2 mobilization Homo sapiens R-HSA-2871809	Reactome_2016	63	3.515625	1	0.0608	Kruskal-Wallis
FCERI mediated MAPK activation Homo sapiens R-HSA-2871796	Reactome_2016	63	1.14371141975309	1	0.285	Kruskal-Wallis
FCERI mediated NF-kB activation Homo sapiens R-HSA-2871837	Reactome_2016	63	5.25173611111114	1	0.0219	Kruskal-Wallis
Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480	Reactome_2016	63	4.11188271604937	1	0.0426	Kruskal-Wallis
FCGR activation Homo sapiens R-HSA-2029481	Reactome_2016	63	2.87114197530866	1	0.0902	Kruskal-Wallis
Fertilization Homo sapiens R-HSA-1187000	Reactome_2016	63	0.0625	1	0.803	Kruskal-Wallis
FGFR1 mutant receptor activation Homo sapiens R-HSA-1839124	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
FGFR2 alternative splicing Homo sapiens R-HSA-6803529	Reactome_2016	63	0.00945216049382225	1	0.923	Kruskal-Wallis
FGFR2 ligand binding and activation Homo sapiens R-HSA-190241	Reactome_2016	63	0.815007716049394	1	0.367	Kruskal-Wallis
FGFR2 mutant receptor activation Homo sapiens R-HSA-1839126	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689	Reactome_2016	63	0.140625	1	0.708	Kruskal-Wallis
Formation of Fibrin Clot (Clotting Cascade) Homo sapiens R-HSA-140877	Reactome_2016	63	4.45679012345681	1	0.0348	Kruskal-Wallis
Formation of HIV elongation complex in the absence of HIV Tat Homo sapiens R-HSA-167152	Reactome_2016	63	0.0696373456790127	1	0.792	Kruskal-Wallis
Formation of HIV-1 elongation complex containing HIV-1 Tat Homo sapiens R-HSA-167200	Reactome_2016	63	0.0933641975308888	1	0.76	Kruskal-Wallis
Formation of Incision Complex in GG-NER Homo sapiens R-HSA-5696395	Reactome_2016	63	2.91840277777777	1	0.0876	Kruskal-Wallis
Formation of RNA Pol II elongation complex Homo sapiens R-HSA-112382	Reactome_2016	63	0.0696373456790127	1	0.792	Kruskal-Wallis
Formation of TC-NER Pre-Incision Complex Homo sapiens R-HSA-6781823	Reactome_2016	63	0.120563271604908	1	0.728	Kruskal-Wallis
Formation of the beta-catenin:TCF transactivating complex Homo sapiens R-HSA-201722	Reactome_2016	63	1.52797067901233	1	0.216	Kruskal-Wallis
Formation of the Early Elongation Complex Homo sapiens R-HSA-113418	Reactome_2016	63	0.0123456790123271	1	0.912	Kruskal-Wallis
Formation of the HIV-1 Early Elongation Complex Homo sapiens R-HSA-167158	Reactome_2016	63	0.0123456790123271	1	0.912	Kruskal-Wallis
Formation of the ternary complex, and subsequently, the 43S complex Homo sapiens R-HSA-72695	Reactome_2016	63	0.741512345679013	1	0.389	Kruskal-Wallis
Formation of tubulin folding intermediates by CCT/TriC Homo sapiens R-HSA-389960	Reactome_2016	63	2.04648919753089	1	0.153	Kruskal-Wallis
FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	Reactome_2016	63	0.840277777777771	1	0.359	Kruskal-Wallis
FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	Reactome_2016	63	0.840277777777771	1	0.359	Kruskal-Wallis
FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	Reactome_2016	63	0.840277777777771	1	0.359	Kruskal-Wallis
FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	Reactome_2016	63	0.840277777777771	1	0.359	Kruskal-Wallis
Frs2-mediated activation Homo sapiens R-HSA-170968	Reactome_2016	63	0.648919753086432	1	0.42	Kruskal-Wallis
G alpha (12/13) signalling events Homo sapiens R-HSA-416482	Reactome_2016	63	0.210069444444457	1	0.647	Kruskal-Wallis
G alpha (i) signalling events Homo sapiens R-HSA-418594	Reactome_2016	63	0.173611111111114	1	0.677	Kruskal-Wallis
G alpha (q) signalling events Homo sapiens R-HSA-416476	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
G alpha (s) signalling events Homo sapiens R-HSA-418555	Reactome_2016	63	0.140625	1	0.708	Kruskal-Wallis
G alpha (z) signalling events Homo sapiens R-HSA-418597	Reactome_2016	63	1.1141975308642	1	0.291	Kruskal-Wallis
G beta:gamma signalling through PI3Kgamma Homo sapiens R-HSA-392451	Reactome_2016	63	0.210069444444457	1	0.647	Kruskal-Wallis
G beta:gamma signalling through PLC beta Homo sapiens R-HSA-418217	Reactome_2016	63	0.00308641975308888	1	0.956	Kruskal-Wallis
G protein gated Potassium channels Homo sapiens R-HSA-1296059	Reactome_2016	63	0.26408179012347	1	0.607	Kruskal-Wallis
G-protein activation Homo sapiens R-HSA-202040	Reactome_2016	63	0.356674382716051	1	0.55	Kruskal-Wallis
G-protein beta:gamma signalling Homo sapiens R-HSA-397795	Reactome_2016	63	0.130401234567898	1	0.718	Kruskal-Wallis
G-protein mediated events Homo sapiens R-HSA-112040	Reactome_2016	63	0.717785493827165	1	0.397	Kruskal-Wallis
G0 and Early G1 Homo sapiens R-HSA-1538133	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
G1 Phase Homo sapiens R-HSA-69236	Reactome_2016	63	1.46006944444446	1	0.227	Kruskal-Wallis
G1/S DNA Damage Checkpoints Homo sapiens R-HSA-69615	Reactome_2016	63	0.0493827160493936	1	0.824	Kruskal-Wallis
G1/S Transition Homo sapiens R-HSA-69206	Reactome_2016	63	0.891975308641975	1	0.345	Kruskal-Wallis
G1/S-Specific Transcription Homo sapiens R-HSA-69205	Reactome_2016	63	0.26408179012347	1	0.607	Kruskal-Wallis
G2/M Checkpoints Homo sapiens R-HSA-69481	Reactome_2016	63	1.32889660493825	1	0.249	Kruskal-Wallis
G2/M DNA damage checkpoint Homo sapiens R-HSA-69473	Reactome_2016	63	1.96778549382717	1	0.161	Kruskal-Wallis
G2/M Transition Homo sapiens R-HSA-69275	Reactome_2016	63	0.444444444444457	1	0.505	Kruskal-Wallis
GAB1 signalosome Homo sapiens R-HSA-180292	Reactome_2016	63	0.222993827160508	1	0.637	Kruskal-Wallis
GABA B receptor activation Homo sapiens R-HSA-977444	Reactome_2016	63	0.865933641975317	1	0.352	Kruskal-Wallis
GABA receptor activation Homo sapiens R-HSA-977443	Reactome_2016	63	0.102044753086432	1	0.749	Kruskal-Wallis
GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590	Reactome_2016	63	0.140625	1	0.708	Kruskal-Wallis
Gamma carboxylation, hypusine formation and arylsulfatase activation Homo sapiens R-HSA-163841	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
Gap junction assembly Homo sapiens R-HSA-190861	Reactome_2016	63	3.11130401234567	1	0.0778	Kruskal-Wallis
Gap junction trafficking and regulation Homo sapiens R-HSA-157858	Reactome_2016	63	2.77777777777777	1	0.0956	Kruskal-Wallis
Gap junction trafficking Homo sapiens R-HSA-190828	Reactome_2016	63	3.41222993827157	1	0.0647	Kruskal-Wallis
Gap-filling DNA repair synthesis and ligation in GG-NER Homo sapiens R-HSA-5696397	Reactome_2016	63	2.96604938271605	1	0.085	Kruskal-Wallis
Gap-filling DNA repair synthesis and ligation in TC-NER Homo sapiens R-HSA-6782210	Reactome_2016	63	1.02797067901233	1	0.311	Kruskal-Wallis
Gastrin-CREB signalling pathway via PKC and MAPK Homo sapiens R-HSA-881907	Reactome_2016	63	0.023341049382708	1	0.879	Kruskal-Wallis
Gene Expression Homo sapiens R-HSA-74160	Reactome_2016	63	0.119716646989389	1	0.729	Kruskal-Wallis
Gene Silencing by RNA Homo sapiens R-HSA-211000	Reactome_2016	63	0.00694444444445708	1	0.934	Kruskal-Wallis
Generation of second messenger molecules Homo sapiens R-HSA-202433	Reactome_2016	63	0.173611111111114	1	0.677	Kruskal-Wallis
Generic Transcription Pathway Homo sapiens R-HSA-212436	Reactome_2016	63	0.525952380952361	1	0.468	Kruskal-Wallis
GLI3 is processed to GLI3R by the proteasome Homo sapiens R-HSA-5610785	Reactome_2016	63	0.00019290123455562	1	0.989	Kruskal-Wallis
Global Genome Nucleotide Excision Repair (GG-NER) Homo sapiens R-HSA-5696399	Reactome_2016	63	2.640625	1	0.104	Kruskal-Wallis
Glucagon signaling in metabolic regulation Homo sapiens R-HSA-163359	Reactome_2016	63	4.87673611111114	1	0.0272	Kruskal-Wallis
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion Homo sapiens R-HSA-381676	Reactome_2016	63	1.08506944444446	1	0.298	Kruskal-Wallis
Glucagon-type ligand receptors Homo sapiens R-HSA-420092	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Gluconeogenesis Homo sapiens R-HSA-70263	Reactome_2016	63	3.72704475308643	1	0.0535	Kruskal-Wallis
Glucose metabolism Homo sapiens R-HSA-70326	Reactome_2016	63	0.015625	1	0.901	Kruskal-Wallis
Glucose transport Homo sapiens R-HSA-70153	Reactome_2016	63	0.340277777777771	1	0.56	Kruskal-Wallis
Glucuronidation Homo sapiens R-HSA-156588	Reactome_2016	63	0.120563271604908	1	0.728	Kruskal-Wallis
Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721	Reactome_2016	63	0.626736111111114	1	0.429	Kruskal-Wallis
Glutamate Neurotransmitter Release Cycle Homo sapiens R-HSA-210500	Reactome_2016	63	0.30864197530866	1	0.579	Kruskal-Wallis
Glutathione conjugation Homo sapiens R-HSA-156590	Reactome_2016	63	0.40817901234567	1	0.523	Kruskal-Wallis
Glycerophospholipid biosynthesis Homo sapiens R-HSA-1483206	Reactome_2016	63	1.77777777777777	1	0.182	Kruskal-Wallis
Glycogen breakdown (glycogenolysis) Homo sapiens R-HSA-70221	Reactome_2016	63	0.390625	1	0.532	Kruskal-Wallis
Glycogen synthesis Homo sapiens R-HSA-3322077	Reactome_2016	63	1.36111111111111	1	0.243	Kruskal-Wallis
Glycolysis Homo sapiens R-HSA-70171	Reactome_2016	63	0.0378086419753174	1	0.846	Kruskal-Wallis
Glycosaminoglycan metabolism Homo sapiens R-HSA-1630316	Reactome_2016	63	0.000771604938250903	1	0.978	Kruskal-Wallis
Glycosphingolipid metabolism Homo sapiens R-HSA-1660662	Reactome_2016	63	0.671489197530889	1	0.413	Kruskal-Wallis
Glyoxylate metabolism and glycine degradation Homo sapiens R-HSA-389661	Reactome_2016	63	0.765625	1	0.382	Kruskal-Wallis
Golgi Associated Vesicle Biogenesis Homo sapiens R-HSA-432722	Reactome_2016	63	0.130401234567898	1	0.718	Kruskal-Wallis
Golgi-to-ER retrograde transport Homo sapiens R-HSA-8856688	Reactome_2016	63	4.34027777777777	1	0.0372	Kruskal-Wallis
GPCR downstream signaling Homo sapiens R-HSA-388396	Reactome_2016	63	0.0484252960443428	1	0.826	Kruskal-Wallis
GPCR ligand binding Homo sapiens R-HSA-500792	Reactome_2016	63	0.023341049382708	1	0.879	Kruskal-Wallis
GPVI-mediated activation cascade Homo sapiens R-HSA-114604	Reactome_2016	63	0.0434027777777715	1	0.835	Kruskal-Wallis
GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	Reactome_2016	63	0.840277777777771	1	0.359	Kruskal-Wallis
GRB2 events in ERBB2 signaling Homo sapiens R-HSA-1963640	Reactome_2016	63	0.210069444444457	1	0.647	Kruskal-Wallis
GRB2:SOS provides linkage to MAPK signaling for Integrins Homo sapiens R-HSA-354194	Reactome_2016	63	0.015625	1	0.901	Kruskal-Wallis
Growth hormone receptor signaling Homo sapiens R-HSA-982772	Reactome_2016	63	0.32426697530866	1	0.569	Kruskal-Wallis
GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	Reactome_2016	63	0.25	1	0.617	Kruskal-Wallis
HATs acetylate histones Homo sapiens R-HSA-3214847	Reactome_2016	63	0.00173611111111427	1	0.967	Kruskal-Wallis
HDACs deacetylate histones Homo sapiens R-HSA-3214815	Reactome_2016	63	4.3402777777778	1	0.0372	Kruskal-Wallis
HDL-mediated lipid transport Homo sapiens R-HSA-194223	Reactome_2016	63	1.77777777777777	1	0.182	Kruskal-Wallis
HDMs demethylate histones Homo sapiens R-HSA-3214842	Reactome_2016	63	1.70447530864197	1	0.192	Kruskal-Wallis
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA) Homo sapiens R-HSA-5693567	Reactome_2016	63	1.81500771604939	1	0.178	Kruskal-Wallis
HDR through Homologous Recombination (HRR) Homo sapiens R-HSA-5685942	Reactome_2016	63	1.49382716049382	1	0.222	Kruskal-Wallis
HDR through Single Strand Annealing (SSA) Homo sapiens R-HSA-5685938	Reactome_2016	63	3.67361111111111	1	0.0553	Kruskal-Wallis
Hedgehog 'off' state Homo sapiens R-HSA-5610787	Reactome_2016	63	0.25	1	0.617	Kruskal-Wallis
Hedgehog 'on' state Homo sapiens R-HSA-5632684	Reactome_2016	63	0.023341049382708	1	0.879	Kruskal-Wallis
Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346	Reactome_2016	63	0.197530864197546	1	0.657	Kruskal-Wallis
Hemostasis Homo sapiens R-HSA-109582	Reactome_2016	63	0.0277777777777715	1	0.868	Kruskal-Wallis
Heparan sulfate/heparin (HS-GAG) metabolism Homo sapiens R-HSA-1638091	Reactome_2016	63	0.604938271604908	1	0.437	Kruskal-Wallis
Hexose transport Homo sapiens R-HSA-189200	Reactome_2016	63	0.293402777777771	1	0.588	Kruskal-Wallis
Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390	Reactome_2016	63	0.120563271604908	1	0.728	Kruskal-Wallis
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768	Reactome_2016	63	0.00694444444445708	1	0.934	Kruskal-Wallis
Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism Homo sapiens R-HSA-6788656	Reactome_2016	63	0.00694444444445708	1	0.934	Kruskal-Wallis
HIV elongation arrest and recovery Homo sapiens R-HSA-167287	Reactome_2016	63	1.70447530864197	1	0.192	Kruskal-Wallis
HIV Infection Homo sapiens R-HSA-162906	Reactome_2016	63	0.00482253086420315	1	0.945	Kruskal-Wallis
HIV Life Cycle Homo sapiens R-HSA-162587	Reactome_2016	63	0.501736111111114	1	0.479	Kruskal-Wallis
HIV Transcription Elongation Homo sapiens R-HSA-167169	Reactome_2016	63	0.0933641975308888	1	0.76	Kruskal-Wallis
HIV Transcription Initiation Homo sapiens R-HSA-167161	Reactome_2016	63	0.0696373456790127	1	0.792	Kruskal-Wallis
Homologous DNA Pairing and Strand Exchange Homo sapiens R-HSA-5693579	Reactome_2016	63	2.25	1	0.134	Kruskal-Wallis
Homology Directed Repair Homo sapiens R-HSA-5693538	Reactome_2016	63	1.49382716049382	1	0.222	Kruskal-Wallis
Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis Homo sapiens R-HSA-163560	Reactome_2016	63	1.39371141975309	1	0.238	Kruskal-Wallis
Host Interactions of HIV factors Homo sapiens R-HSA-162909	Reactome_2016	63	0.0326003086419746	1	0.857	Kruskal-Wallis
Host Interactions with Influenza Factors Homo sapiens R-HSA-168253	Reactome_2016	63	2.16743827160491	1	0.141	Kruskal-Wallis
HS-GAG biosynthesis Homo sapiens R-HSA-2022928	Reactome_2016	63	0.278549382716051	1	0.598	Kruskal-Wallis
HS-GAG degradation Homo sapiens R-HSA-2024096	Reactome_2016	63	1.70447530864197	1	0.192	Kruskal-Wallis
HSF1 activation Homo sapiens R-HSA-3371511	Reactome_2016	63	3.5679012345679	1	0.0589	Kruskal-Wallis
HSF1-dependent transactivation Homo sapiens R-HSA-3371571	Reactome_2016	63	1.890625	1	0.169	Kruskal-Wallis
Hyaluronan metabolism Homo sapiens R-HSA-2142845	Reactome_2016	63	1.14371141975309	1	0.285	Kruskal-Wallis
IGF1R signaling cascade Homo sapiens R-HSA-2428924	Reactome_2016	63	0.356674382716051	1	0.55	Kruskal-Wallis
IKK complex recruitment mediated by RIP1 Homo sapiens R-HSA-937041	Reactome_2016	63	0.0771604938271651	1	0.781	Kruskal-Wallis
IL-6-type cytokine receptor ligand interactions Homo sapiens R-HSA-6788467	Reactome_2016	63	0.30864197530866	1	0.579	Kruskal-Wallis
Immune System Homo sapiens R-HSA-168256	Reactome_2016	63	0.116566118854422	1	0.733	Kruskal-Wallis
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	Reactome_2016	63	0.197530864197546	1	0.657	Kruskal-Wallis
Inactivation of APC/C via direct inhibition of the APC/C complex Homo sapiens R-HSA-141430	Reactome_2016	63	0.426118827160508	1	0.514	Kruskal-Wallis
Inactivation, recovery and regulation of the phototransduction cascade Homo sapiens R-HSA-2514859	Reactome_2016	63	2.29185956790124	1	0.13	Kruskal-Wallis
Incretin synthesis, secretion, and inactivation Homo sapiens R-HSA-400508	Reactome_2016	63	0.37345679012347	1	0.541	Kruskal-Wallis
Infectious disease Homo sapiens R-HSA-5663205	Reactome_2016	63	0.0696373456790127	1	0.792	Kruskal-Wallis
Inflammasomes Homo sapiens R-HSA-622312	Reactome_2016	63	0.0933641975308888	1	0.76	Kruskal-Wallis
Influenza Infection Homo sapiens R-HSA-168254	Reactome_2016	63	1.08506944444446	1	0.298	Kruskal-Wallis
Influenza Life Cycle Homo sapiens R-HSA-168255	Reactome_2016	63	1.08506944444446	1	0.298	Kruskal-Wallis
Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273	Reactome_2016	63	0.840277777777771	1	0.359	Kruskal-Wallis
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits Homo sapiens R-HSA-997272	Reactome_2016	63	0.26408179012347	1	0.607	Kruskal-Wallis
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components Homo sapiens R-HSA-141405	Reactome_2016	63	0.426118827160508	1	0.514	Kruskal-Wallis
Initial triggering of complement Homo sapiens R-HSA-166663	Reactome_2016	63	4.05574845679013	1	0.044	Kruskal-Wallis
Innate Immune System Homo sapiens R-HSA-168249	Reactome_2016	63	0.420000000000016	1	0.517	Kruskal-Wallis
Inositol phosphate metabolism Homo sapiens R-HSA-1483249	Reactome_2016	63	0.0850694444444571	1	0.771	Kruskal-Wallis
