	pathway	X0285.015.009	X1005.015.008	X1016.015.020	X1018.015.022	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1155.016.142	X1158.016.145	X1161.016.148	X1184.016.171	X1190.016.177	X1480.019.118	X1484.019.122	X1486.019.124	X1503.019.141	X1541.019.179	X1543.019.181	X1545.019.183	X1553.019.191	X1554.019.192	X1555.019.193	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1568.019.206	X1569.019.207	X1571.019.209	X1575.019.213	X1581.019.219
75	Cell Cycle Homo sapiens R-HSA-1640170	NA	-1.59214120484433	-1.42020241233889	1.48503329977808	-2.06134747926587	NA	NA	NA	-1.71104028810909	NA	NA	NA	1.43083013113934	NA	1.48794234734063	NA	-1.89792487293528	NA	NA	NA	1.83328734258976	NA	NA	-1.43709825783226	NA	NA	NA	NA	NA	-1.75213449174791	NA	NA	-1.48460037119189	NA	-1.56616862792917
76	Cell Cycle, Mitotic Homo sapiens R-HSA-69278	NA	-1.59503409561754	-1.57874254385904	1.51402226520691	-2.21275762292969	NA	-1.99570571172132	NA	-1.79412720242478	NA	-1.23761528579502	NA	1.47956772029511	NA	1.60974555525073	-1.34694151503112	-1.98948568372154	NA	NA	NA	1.91982435785038	NA	NA	-1.40251979825107	NA	NA	NA	NA	NA	-1.76894704977489	NA	NA	-1.63770615144082	NA	-1.59810431483298
77	Cell death signalling via NRAGE, NRIF and NADE Homo sapiens R-HSA-204998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.49018067397726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	Cell junction organization Homo sapiens R-HSA-446728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.40024707127416	NA	-1.39766370911909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733	NA	NA	NA	NA	-1.76182310451505	NA	NA	NA	NA	1.68778096342054	-1.85722703429384	NA	1.56941450374434	NA	1.89080962907388	NA	-2.00563356701688	1.80605050143207	1.92582705924817	NA	NA	-1.65655638792924	1.58693542836815	NA	NA	1.73387435152237	NA	1.49092571720044	NA	-1.67860979351252	-1.56888947145774	1.69282570757285	NA	NA	NA
80	Cell-Cell communication Homo sapiens R-HSA-1500931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33860555745024	NA	-1.40486315619065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	Cellular response to hypoxia Homo sapiens R-HSA-2262749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51307326003128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	Cellular responses to stress Homo sapiens R-HSA-2262752	NA	NA	NA	NA	-1.41006028826741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.25578310255162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	Cellular Senescence Homo sapiens R-HSA-2559583	NA	NA	NA	NA	-1.68485855443546	1.35885003491705	NA	NA	NA	1.4889267976059	-1.6206915059531	1.42221612196834	NA	NA	1.49191086639169	NA	-1.64673741417975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	Centrosome maturation Homo sapiens R-HSA-380287	NA	NA	NA	NA	NA	NA	-1.98854983294591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	Chemokine receptors bind chemokines Homo sapiens R-HSA-380108	NA	1.79628287450812	NA	NA	-1.82124864349282	1.50335217863409	NA	NA	NA	2.48773836512073	-2.41403166160608	NA	2.3980949482449	NA	2.11411883595095	-1.88728070049465	-1.9052372850711	2.43041214679877	2.24582237687627	-2.17827537958818	-1.83551228490154	-1.69027288177579	1.83199932146624	1.7515434860942	NA	1.80341838981686	NA	2.18883628577151	NA	-1.97356499542419	1.6335933978925	1.99603692786851	-1.63096804922883	NA	NA
86	Cholesterol biosynthesis Homo sapiens R-HSA-191273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.52933709296986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	Chondroitin sulfate/dermatan sulfate metabolism Homo sapiens R-HSA-1793185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82969069202691	NA	NA	1.61932792273376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	Chromosome Maintenance Homo sapiens R-HSA-73886	NA	-1.71839097614189	NA	NA	-1.84605989936146	1.8636587742951	-1.89551896684373	1.84466182045579	NA	-1.60355934075404	NA	NA	NA	NA	NA	NA	-1.75064526826288	-1.73418934943851	-1.43147895810975	NA	1.83058087376587	NA	NA	NA	NA	NA	NA	-1.7891231645127	NA	-1.73349641628502	NA	NA	NA	NA	NA
89	Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076	NA	1.46785274978843	NA	NA	-1.73741867355447	NA	1.84560541131127	NA	NA	2.15949389920873	-2.14998560150996	1.57990278594742	1.89494654613193	NA	1.86419683651615	-1.49276689956425	-2.10966060049127	1.96469575524393	1.63213983902328	-1.67571343051035	NA	-1.82033530783727	NA	NA	1.38496512836166	1.7832858664874	1.33742045952426	1.99382497430911	NA	-1.55057813919424	NA	1.67546170038242	-1.64078531208503	NA	NA
90	Class B/2 (Secretin family receptors) Homo sapiens R-HSA-373080	NA	NA	NA	NA	NA	NA	1.53369451907717	-1.56017243098803	NA	NA	NA	NA	NA	NA	NA	NA	-1.38951092901836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	Class C/3 (Metabotropic glutamate/pheromone receptors) Homo sapiens R-HSA-420499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52144903935806	-1.69682318046107	NA	NA	-1.44263848030068	NA	1.62181520702117	NA	NA	NA	NA	NA	NA	NA	-1.79830478408743	NA	NA	NA	NA	NA	1.57561342449848	NA	NA	NA	NA
92	Class I MHC mediated antigen processing & presentation Homo sapiens R-HSA-983169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.48983167973519	NA	NA	NA	1.47638698203421	NA	NA	1.29766054946116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	Classical antibody-mediated complement activation Homo sapiens R-HSA-173623	-1.96044631213092	NA	NA	-2.21072121552578	-1.53616771032074	1.51742831220018	1.82045211608367	NA	-1.76692220928319	1.74420718798761	-1.67641274613198	2.09274439382899	2.20060188055607	NA	2.53560620122569	-1.55345714632803	-2.00977186428932	1.51526874533206	NA	-2.16274915087114	2.29766564535401	NA	-1.64043935121378	-2.20858605877755	NA	1.86827345636247	1.93244420907821	-2.39570162597308	NA	-1.87419055551381	NA	NA	NA	2.36737105574153	NA
94	Cleavage of Growing Transcript in the Termination Region Homo sapiens R-HSA-109688	NA	NA	NA	NA	-1.55715914497173	1.62384109023208	NA	1.83999253187597	NA	NA	NA	NA	NA	NA	NA	NA	-1.5170839357334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	CLEC7A (Dectin-1) signaling Homo sapiens R-HSA-5607764	NA	NA	NA	NA	-1.72647304619585	1.65102882135628	NA	NA	NA	1.56939410874367	-1.86744583036434	1.67393732722503	NA	NA	1.80520110733999	-1.72236157312358	-1.52120045725485	1.7030567062668	1.76990053791878	-1.65026839803772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.52405647341622	NA	NA
96	Collagen biosynthesis and modifying enzymes Homo sapiens R-HSA-1650814	NA	NA	NA	NA	-1.50236833349612	NA	2.0073278931857	NA	NA	NA	NA	NA	NA	2.11587845723793	1.66834560837496	1.81236335867962	-1.83619261339171	NA	1.82210880530533	NA	NA	NA	NA	-1.75029490858367	NA	NA	1.88828994746539	NA	-2.0488854383183	-1.67095351795615	-2.12737129569257	NA	NA	NA	NA
97	Collagen degradation Homo sapiens R-HSA-1442490	NA	NA	NA	NA	NA	NA	1.85827757167564	NA	NA	NA	NA	NA	NA	NA	1.57850378755046	NA	-1.78674433304119	NA	1.97897513476395	NA	NA	NA	NA	NA	1.80681056101945	1.7673775598641	NA	1.68458673918057	-1.89372915577194	-1.62721514966553	-1.79118682460575	NA	NA	NA	NA
98	Collagen formation Homo sapiens R-HSA-1474290	NA	NA	NA	NA	-1.43222397876938	NA	1.94894311915458	NA	NA	NA	-1.42016848268905	1.61401218586501	NA	2.14127416996138	1.80071315910681	1.71287693472007	-2.00598943701372	NA	2.0612520981562	NA	NA	NA	NA	-1.53564597746436	1.67030476586982	NA	1.97809420517335	NA	-2.02905577437041	-1.68209032785439	-2.21814209310087	NA	NA	NA	NA
99	Common Pathway of Fibrin Clot Formation Homo sapiens R-HSA-140875	NA	NA	NA	NA	NA	NA	1.77873166668325	NA	-1.73849963471104	NA	NA	1.75308779456571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100	Complement cascade Homo sapiens R-HSA-166658	NA	NA	NA	-1.89343466393146	-1.48312264085145	NA	1.64386575521633	NA	-1.54681747883094	1.75801078398085	-1.88275067069306	1.68755287828924	2.02297321201523	NA	2.32012242531667	-1.57266973687495	-1.78694858185838	1.81653543375228	1.54192768264917	-2.19236700724128	1.8823542112849	NA	NA	-1.99898337559829	NA	1.75727081996418	NA	NA	-1.84924891443608	-1.77174171929702	NA	1.62374550764668	NA	2.38676413704706	NA
101	Complex I biogenesis Homo sapiens R-HSA-6799198	NA	-1.72479056579744	NA	NA	-1.56829556131332	1.66020276707971	-1.5677136126478	1.57576209818913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57220903765636	NA	NA	NA	1.48201669111782	NA	NA	NA	NA	NA	NA	NA	1.82721949630984	NA	NA	NA	NA	NA	NA	NA	NA
103	COPI-dependent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.43454800427412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.59553018643155	NA	NA	NA	NA	NA
104	Costimulation by the CD28 family Homo sapiens R-HSA-388841	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84008926398454	-2.08125277246401	NA	1.82318418368647	-1.70252970340794	2.2731202402673	NA	-1.6501539677161	2.06099272256825	2.32509741864299	NA	NA	NA	NA	NA	-1.52866886940757	NA	NA	NA	NA	NA	NA	1.61900660881459	NA	NA	NA
105	Creation of C4 and C2 activators Homo sapiens R-HSA-166786	-1.83782730675347	NA	NA	-2.15507160481226	-1.72546820348799	1.63355437024251	1.88550619385631	NA	NA	1.67350046195889	-1.72155144054159	1.97975503190835	2.01371117930056	NA	2.46193485714322	-1.5278070513837	-1.94288884733728	1.49737205133125	NA	-2.11930194863626	2.33683592511282	NA	NA	-2.12341776834325	NA	1.73186617833591	1.91259180831694	-1.91201450560415	NA	-1.92985411571009	NA	NA	NA	2.38551053964339	NA
106	Cross-presentation of soluble exogenous antigens (endosomes) Homo sapiens R-HSA-1236978	NA	NA	NA	NA	-1.48722880489079	NA	NA	NA	NA	NA	-1.63322801989652	NA	NA	NA	1.53678524448479	-1.73692248504408	NA	1.5924622205032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	CTLA4 inhibitory signaling Homo sapiens R-HSA-389513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.64108686129279	NA	NA	NA	1.79932968941587	NA	NA	1.68685617998982	1.81229334761911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656	NA	NA	-1.75709217386234	NA	-1.94399168592623	1.83988552031806	NA	1.96793721316139	NA	NA	-1.82038677416948	1.67779757356281	NA	NA	1.8601589776035	-1.73386580236188	-1.77992683968521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
109	Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	NA	NA	NA	NA	-1.91335385612656	1.61758524113147	-1.8797230037638	1.81416493125479	NA	NA	NA	NA	NA	NA	NA	NA	-1.85466073487362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.80201066872239	NA	-1.76279733521284	NA	NA	NA	NA	NA
110	Cyclin D associated events in G1 Homo sapiens R-HSA-69231	NA	NA	NA	NA	-1.55000831691832	1.84703972866334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202	NA	NA	-1.7595592536505	NA	-1.94954597158133	1.86525203972077	NA	1.96565275087549	NA	NA	-1.7869166242422	1.64388084209087	NA	NA	1.82644880995171	-1.6274212028388	-1.78821167605794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	Cytochrome P450 - arranged by substrate type Homo sapiens R-HSA-211897	NA	NA	NA	NA	1.49216491122202	-1.42615876331605	NA	NA	NA	NA	NA	NA	NA	NA	-1.45420170468613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	NA	NA	NA	NA	-1.65155677294776	NA	1.45556148739211	NA	NA	1.8969168930493	-2.30321623962286	NA	2.07706948921372	NA	2.18297746552619	-1.35388305111512	-1.86750724230806	2.09944349920097	NA	-1.47321181815497	NA	NA	NA	NA	NA	1.58594548550742	1.39849565462029	1.4889344972683	NA	NA	NA	1.53802133333893	-1.32677232629334	NA	NA
114	Cytosolic sensors of pathogen-associated DNA Homo sapiens R-HSA-1834949	NA	NA	NA	NA	-1.52538589326205	NA	NA	NA	NA	NA	-1.54041645669407	NA	NA	NA	1.43063936863674	NA	NA	1.58394129336143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	DAP12 interactions Homo sapiens R-HSA-2172127	NA	NA	NA	NA	-1.34558356361874	NA	1.38791763883741	NA	NA	1.40028685783075	-1.66090604999229	NA	1.38579187456057	NA	1.74148266475159	NA	-1.44797318506689	1.50860788366266	1.47158706803077	NA	NA	-1.38280113426257	NA	NA	NA	NA	1.32515406645028	NA	NA	NA	-1.39378934339066	NA	NA	NA	NA
116	DAP12 signaling Homo sapiens R-HSA-2424491	NA	NA	NA	NA	-1.21913533126348	NA	1.32149586908114	NA	NA	NA	-1.53192239603868	NA	NA	NA	1.71480070281447	NA	-1.39343698475581	1.39317745366349	1.37216015780788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.39373696553988	NA	NA	NA	NA
117	Deactivation of the beta-catenin transactivating complex Homo sapiens R-HSA-3769402	NA	NA	NA	NA	NA	1.47319022841459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
118	Death Receptor Signalling Homo sapiens R-HSA-73887	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.60653844177847	-1.67909463362159	NA	NA	NA	NA	NA	NA	1.55964541119517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
119	Dectin-1 mediated noncanonical NF-kB signaling Homo sapiens R-HSA-5607761	NA	NA	NA	NA	-1.54290755425654	1.89876808533864	NA	NA	NA	NA	-1.85352687989794	NA	NA	NA	1.6698029841499	-1.91958350712658	NA	1.61629446985495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.61392644100227	NA	NA
120	Defective B3GALT6 causes EDSP2 and SEMDJL1 Homo sapiens R-HSA-4420332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59677684775512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
121	Defective B3GALTL causes Peters-plus syndrome (PpS) Homo sapiens R-HSA-5083635	NA	NA	NA	NA	NA	NA	1.87284194536302	NA	NA	NA	NA	NA	NA	1.85841726580236	1.48451366126102	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9350546799148	NA	NA	NA	NA	-1.65095696261581	-1.63484264699366	NA	NA	NA	NA
122	Defective B3GAT3 causes JDSSDHD Homo sapiens R-HSA-3560801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59677684775512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	Defective B4GALT7 causes EDS, progeroid type Homo sapiens R-HSA-3560783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59677684775512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
124	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) Homo sapiens R-HSA-5083632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58606044929239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
125	Defective GALNT12 causes colorectal cancer 1 (CRCS1) Homo sapiens R-HSA-5083636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58741056976066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
126	Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) Homo sapiens R-HSA-5083625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58741056976066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
127	Defensins Homo sapiens R-HSA-1461973	NA	NA	NA	NA	-1.75849924498564	NA	1.60207173820118	NA	NA	1.80898188080906	-1.60120906629065	NA	NA	NA	NA	NA	-1.55009544729355	NA	NA	NA	NA	NA	NA	NA	NA	1.63123640897491	NA	1.66192299367383	NA	-1.69186973906755	NA	NA	NA	NA	NA
128	Degradation of AXIN Homo sapiens R-HSA-4641257	NA	NA	-1.69279930732298	NA	-1.40927618979203	NA	NA	1.71926345360567	NA	NA	-1.76114541370673	NA	NA	NA	1.65377310837505	-1.80024397343661	NA	1.49371477914102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	Degradation of beta-catenin by the destruction complex Homo sapiens R-HSA-195253	NA	NA	-1.59602834887041	NA	-1.41720545221421	1.78015524531697	NA	NA	NA	NA	-1.55586426387165	NA	NA	NA	1.65285181372307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
130	Degradation of DVL Homo sapiens R-HSA-4641258	NA	NA	NA	NA	-1.65181891921115	1.81220880493212	NA	1.79018678943035	NA	NA	-1.64580228089138	NA	NA	NA	1.57070817830787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
131	Degradation of GLI1 by the proteasome Homo sapiens R-HSA-5610780	-1.68775392487556	NA	NA	NA	-1.6625835534294	1.79404141870242	NA	1.51882006381624	NA	NA	-1.73601186358683	NA	NA	NA	1.67357935586493	-1.92277279768985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
132	Degradation of GLI2 by the proteasome Homo sapiens R-HSA-5610783	-1.62781195741443	NA	NA	NA	-1.6802684288248	1.84748247377824	NA	1.56383684221303	NA	NA	-1.58935598352973	NA	NA	NA	1.67136750249903	-1.69253695024675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	NA	NA	NA	NA	-1.59633751184741	NA	2.03763753994052	NA	NA	NA	-1.39687863134859	NA	1.59031289444557	2.03983281377544	1.7066897821767	NA	-1.80233588389464	NA	2.11074690330918	NA	1.60110052951116	NA	1.89450119094096	NA	1.90140638018039	1.71116493154394	1.80548859261929	1.53880771791696	-2.07080632254057	-1.62318083319091	-2.16577998494862	NA	NA	NA	-1.70114293602068
134	Deposition of new CENPA-containing nucleosomes at the centromere Homo sapiens R-HSA-606279	NA	NA	NA	NA	-1.88083161281251	1.81049728525378	-2.10207909067639	1.81906358051129	NA	NA	NA	NA	1.56531705216679	NA	NA	NA	-1.72522890568267	NA	NA	NA	1.75294493645897	NA	NA	NA	NA	NA	NA	NA	NA	-1.72358881589124	NA	NA	NA	NA	NA
135	Developmental Biology Homo sapiens R-HSA-1266738	NA	NA	NA	NA	-1.219862840712	NA	1.62179385317327	NA	NA	NA	-1.29776291569818	NA	NA	1.32189976505872	1.4582215115673	NA	-1.45155042952636	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32288735702392	NA	-1.34346184657671	NA	NA	NA	NA	NA	-1.27915379494112
136	Digestion of dietary lipid Homo sapiens R-HSA-192456	NA	NA	NA	NA	-1.62704278944592	NA	1.662147032122	NA	NA	NA	-1.64167281969229	NA	1.62755222259581	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66437323002778	NA	1.79723868194431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
137	Disassembly of the destruction complex and recruitment of AXIN to the membrane Homo sapiens R-HSA-4641262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.64261782246883	NA	NA	NA	NA	NA	NA	NA
138	Disease Homo sapiens R-HSA-1643685	NA	NA	NA	NA	-1.48634153376386	NA	NA	NA	NA	NA	-1.28244387763529	NA	NA	NA	1.45295708190089	NA	-1.28640504931088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	Diseases associated with glycosaminoglycan metabolism Homo sapiens R-HSA-3560782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62775007834767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.74489877261559	NA	NA	-1.62807614354032	NA	NA	NA	NA
140	Diseases associated with O-glycosylation of proteins Homo sapiens R-HSA-3906995	NA	NA	NA	NA	NA	NA	1.58844994688225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141	Diseases associated with the TLR signaling cascade Homo sapiens R-HSA-5602358	NA	NA	NA	NA	-1.57424158997477	NA	NA	NA	NA	NA	-1.69866028204257	NA	1.55637361617548	NA	1.55099684285143	-1.70524107082098	-1.75749948109042	1.62979396232655	1.76459920958489	-1.69680003384323	NA	NA	NA	1.87017577422756	NA	1.74293889617497	NA	NA	NA	NA	NA	NA	NA	NA	NA
142	Diseases of glycosylation Homo sapiens R-HSA-3781865	NA	NA	NA	NA	NA	NA	1.6751543830503	NA	NA	NA	NA	NA	NA	1.59656457699939	1.44746995650213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.45476174161697	NA	-1.698247057563	-1.52833122096593	-1.64391367098191	NA	NA	NA	NA
143	Diseases of Immune System Homo sapiens R-HSA-5260271	NA	NA	NA	NA	-1.57424158997477	NA	NA	NA	NA	NA	-1.69866028204257	NA	1.55637361617548	NA	1.55099684285143	-1.70524107082098	-1.75749948109042	1.62979396232655	1.76459920958489	-1.69680003384323	NA	NA	NA	1.87017577422756	NA	1.74293889617497	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	Diseases of signal transduction Homo sapiens R-HSA-5663202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4557918647077	NA	NA	NA	1.29673554390116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.39963295643714	NA	NA	NA	NA
145	Disorders of transmembrane transporters Homo sapiens R-HSA-5619115	NA	NA	NA	NA	NA	NA	1.59945176339737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
146	DNA Damage/Telomere Stress Induced Senescence Homo sapiens R-HSA-2559586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.5150899953496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.67844042525584	NA	NA	NA	NA	NA
147	DNA Double Strand Break Response Homo sapiens R-HSA-5693606	NA	NA	NA	NA	NA	NA	-1.52432177355375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	DNA Double-Strand Break Repair Homo sapiens R-HSA-5693532	NA	-1.6196636085144	-1.50248449309261	NA	NA	1.32894716384025	-1.90281197276978	1.49295848827317	NA	NA	NA	NA	NA	NA	NA	NA	-1.44099057917087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.40705562975045	NA	NA	NA	NA	NA
149	DNA Repair Homo sapiens R-HSA-73894	NA	-1.5504341739634	NA	NA	NA	1.37671315835602	-1.72473578310588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150	DNA Replication Homo sapiens R-HSA-69306	NA	-1.59905374876159	-1.75636631518876	NA	-2.10224120837498	2.151814038372	NA	2.08305548837643	-1.69784166137649	NA	-1.46706959602744	NA	1.43162735680053	NA	1.80116457484141	-1.55209233713351	-1.87425118439041	NA	NA	NA	1.75102558875376	NA	1.76880912398646	NA	NA	NA	NA	-1.55485149990496	NA	-1.71062524253343	NA	NA	-1.70590810886302	NA	NA
151	DNA Replication Pre-Initiation Homo sapiens R-HSA-69002	NA	NA	-1.74257113997897	NA	-1.96910382165483	2.05278295176179	NA	2.02099816825882	-1.67723354468452	NA	-1.57706023060024	NA	NA	NA	1.79491480706921	-1.60398526145994	-1.7083069216901	NA	NA	NA	1.70923235615327	NA	1.89563274350298	NA	NA	NA	NA	NA	NA	-1.62607609787412	NA	NA	-1.67170698106743	NA	NA
