"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Selenium Metabolism and Selenoproteins WP28"	"Selenium Metabolism and Selenoproteins WP28"	"1/271"	"46/6201"	0.872958117908799	0.966549237690451	0.810023045351917	"FOS"	1
"M1"	"Tryptophan metabolism WP465"	"Tryptophan metabolism WP465"	"1/271"	"46/6201"	0.872958117908799	0.966549237690451	0.810023045351917	"ALDH1A2"	1
"M1"	"Signaling Pathways in Glioblastoma WP2261"	"Signaling Pathways in Glioblastoma WP2261"	"2/271"	"82/6201"	0.880029745381804	0.966549237690451	0.810023045351917	"PRKCB/PRKCG"	2
"M1"	"Rett syndrome causing genes WP4312"	"Rett syndrome causing genes WP4312"	"1/271"	"48/6201"	0.88389982286376	0.966549237690451	0.810023045351917	"CECR2"	1
"M1"	"Apoptosis WP254"	"Apoptosis WP254"	"2/271"	"84/6201"	0.888275661180314	0.966549237690451	0.810023045351917	"TNFRSF1B/TNF"	2
"M1"	"ESC Pluripotency Pathways WP3931"	"ESC Pluripotency Pathways WP3931"	"3/271"	"116/6201"	0.888829965333736	0.966549237690451	0.810023045351917	"FOS/NOG/ERAS"	3
"M1"	"Mesodermal Commitment Pathway WP2857"	"Mesodermal Commitment Pathway WP2857"	"4/271"	"147/6201"	0.891114568873699	0.966549237690451	0.810023045351917	"INHBA/SNAI1/NOG/ADAM19"	4
"M1"	"Pyrimidine metabolism WP4022"	"Pyrimidine metabolism WP4022"	"2/271"	"85/6201"	0.892199296329648	0.966549237690451	0.810023045351917	"CDA/UPB1"	2
"M1"	"One carbon metabolism and related pathways WP3940"	"One carbon metabolism and related pathways WP3940"	"1/271"	"52/6201"	0.903045988351974	0.970214698229393	0.813094909042447	"CBSL"	1
"M1"	"Translation Factors WP107"	"Translation Factors WP107"	"1/271"	"52/6201"	0.903045988351974	0.970214698229393	0.813094909042447	"EIF1AY"	1
"M1"	"Interferon type I signaling pathways WP585"	"Interferon type I signaling pathways WP585"	"1/271"	"54/6201"	0.911404287717487	0.973060134403278	0.815479545835946	"SOCS3"	1
"M1"	"Amino Acid metabolism WP3925"	"Amino Acid metabolism WP3925"	"2/271"	"91/6201"	0.913179510747692	0.973060134403278	0.815479545835946	"HAL/ARG1"	2
"M1"	"Epithelial to mesenchymal transition in colorectal cancer WP4239"	"Epithelial to mesenchymal transition in colorectal cancer WP4239"	"4/271"	"159/6201"	0.922830357448157	0.977704416496841	0.819371717469012	"MMP9/SNAI1/ZEB1/ZEB2"	4
"M1"	"Insulin Signaling WP481"	"Insulin Signaling WP481"	"4/271"	"160/6201"	0.925058794070088	0.977704416496841	0.819371717469012	"EGR1/FOS/SOCS3/PRKCB"	4
"M1"	"Endometrial cancer WP4155"	"Endometrial cancer WP4155"	"1/271"	"63/6201"	0.940971403705726	0.99049621442708	0.830091969175731	"FOS"	1
"M1"	"Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680"	"Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680"	"1/271"	"66/6201"	0.948450998106042	0.991400225508843	0.830849581701743	"PFN3"	1
"M1"	"RAC1/PAK1/p38/MMP2 Pathway WP3303"	"RAC1/PAK1/p38/MMP2 Pathway WP3303"	"1/271"	"68/6201"	0.952904894092158	0.991400225508843	0.830849581701743	"TNIP3"	1
"M1"	"Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982"	"Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982"	"1/271"	"69/6201"	0.954985894206461	0.991400225508843	0.830849581701743	"CAMP"	1
"M1"	"DNA Damage Response (only ATM dependent) WP710"	"DNA Damage Response (only ATM dependent) WP710"	"2/271"	"110/6201"	0.957082525395075	0.991400225508843	0.830849581701743	"FOSL1/PLAU"	2
"M1"	"Breast cancer pathway WP4262"	"Breast cancer pathway WP4262"	"3/271"	"154/6201"	0.968006392562626	0.998736754231281	0.836998008606782	"TNFSF11/FOS/CSNK1A1L"	3
"M1"	"Cytoplasmic Ribosomal Proteins WP477"	"Cytoplasmic Ribosomal Proteins WP477"	"1/271"	"89/6201"	0.981798106304703	0.999393522062008	0.837548417274638	"RPS4Y1"	1
"M1"	"Pancreatic adenocarcinoma pathway WP4263"	"Pancreatic adenocarcinoma pathway WP4263"	"1/271"	"89/6201"	0.981798106304703	0.999393522062008	0.837548417274638	"PAK5"	1
"M1"	"Endoderm Differentiation WP2853"	"Endoderm Differentiation WP2853"	"2/271"	"141/6201"	0.987048962480641	0.999393522062008	0.837548417274638	"NOG/HOXA1"	2
"M1"	"Thermogenesis WP4321"	"Thermogenesis WP4321"	"1/271"	"108/6201"	0.992320640141253	0.999393522062008	0.837548417274638	"CREB5"	1
"M1"	"Angiopoietin Like Protein 8 Regulatory Pathway WP3915"	"Angiopoietin Like Protein 8 Regulatory Pathway WP3915"	"1/271"	"132/6201"	0.997428470910521	0.999393522062008	0.837548417274638	"CYP7A1"	1
"M1"	"Regulation of Actin Cytoskeleton WP51"	"Regulation of Actin Cytoskeleton WP51"	"1/271"	"150/6201"	0.998871301323857	0.999393522062008	0.837548417274638	"PAK5"	1
"M1"	"Integrated Breast Cancer Pathway WP1984"	"Integrated Breast Cancer Pathway WP1984"	"1/271"	"151/6201"	0.998921851206725	0.999393522062008	0.837548417274638	"FOSL1"	1
"M1"	"Ciliary landscape WP4352"	"Ciliary landscape WP4352"	"2/271"	"216/6201"	0.999393522062008	0.999393522062008	0.837548417274638	"CAMK2A/NME8"	2
"M2"	"GPCRs, Class A Rhodopsin-like WP455"	"GPCRs, Class A Rhodopsin-like WP455"	"13/86"	"257/6201"	4.5577952319316e-05	0.00615302356310766	0.00585316861363848	"OR10H1/OR10H2/NPFFR2/GPR20/HCRTR2/PTGER3/GPR45/OPN4/MTNR1B/HCAR1/NMBR/MC5R/DRD1"	13
"M2"	"Circadian rhythm related genes WP3594"	"Circadian rhythm related genes WP3594"	"9/86"	"201/6201"	0.00174998838076828	0.116264334072443	0.110598430852539	"SFTPC/LEP/HCRTR2/OPN4/F7/PROX1/MTNR1B/ID3/DRD1"	9
"M2"	"Common Pathways Underlying Drug Addiction WP2636"	"Common Pathways Underlying Drug Addiction WP2636"	"4/86"	"42/6201"	0.00258365186827652	0.116264334072443	0.110598430852539	"GRIA2/GRIA3/ACTG2/DRD1"	4
"M2"	"PTF1A related regulatory pathway WP4147"	"PTF1A related regulatory pathway WP4147"	"2/86"	"11/6201"	0.00964056938975362	0.260295373523348	0.247610413799988	"NKX6-1/PROX1"	2
"M2"	"The alternative pathway of fetal androgen synthesis WP4524"	"The alternative pathway of fetal androgen synthesis WP4524"	"2/86"	"11/6201"	0.00964056938975362	0.260295373523348	0.247610413799988	"HSD3B2/HSD17B6"	2
"M2"	"Sleep regulation WP3591"	"Sleep regulation WP3591"	"3/86"	"38/6201"	0.0153183758166432	0.266334633719273	0.253355363070185	"HCRTR2/MTNR1B/DRD1"	3
"M2"	"Osteoblast Signaling WP322"	"Osteoblast Signaling WP322"	"2/86"	"14/6201"	0.0155267475565564	0.266334633719273	0.253355363070185	"PDGFRA/PTH1R"	2
"M2"	"Classical pathway of steroidogenesis, including diseases WP4523"	"Classical pathway of steroidogenesis, including diseases WP4523"	"2/86"	"15/6201"	0.0177556422479515	0.266334633719273	0.253355363070185	"HSD3B2/CYP11B1"	2
"M2"	"GPCRs, Class C Metabotropic glutamate, pheromone WP501"	"GPCRs, Class C Metabotropic glutamate, pheromone WP501"	"2/86"	"15/6201"	0.0177556422479515	0.266334633719273	0.253355363070185	"GRM4/GRM8"	2
"M2"	"Small Ligand GPCRs WP247"	"Small Ligand GPCRs WP247"	"2/86"	"19/6201"	0.0279008124968991	0.376660968708138	0.35830517101281	"PTGER3/MTNR1B"	2
"M2"	"Synaptic Vesicle Pathway WP2267"	"Synaptic Vesicle Pathway WP2267"	"3/86"	"51/6201"	0.0332696646882655	0.3786644637751	0.360211029867931	"SLC17A8/SLC32A1/CACNA1A"	3
"M2"	"Nicotine Activity on Dopaminergic Neurons WP1602"	"Nicotine Activity on Dopaminergic Neurons WP1602"	"2/86"	"21/6201"	0.0336590634466756	0.3786644637751	0.360211029867931	"KCNK9/CHRNA6"	2
"M2"	"GPCRs, Class B Secretin-like WP334"	"GPCRs, Class B Secretin-like WP334"	"2/86"	"24/6201"	0.0430741277149066	0.447308249347107	0.425509601718106	"PTH1R/GLP1R"	2
"M2"	"Canonical  and Non-canonical Notch signaling WP3845"	"Canonical  and Non-canonical Notch signaling WP3845"	"2/86"	"27/6201"	0.0533430039900676	0.511264852399448	0.486349411249378	"CNTN6/MFAP2"	2
"M2"	"Endochondral Ossification WP474"	"Endochondral Ossification WP474"	"3/86"	"64/6201"	0.0586256720775534	0.511264852399448	0.486349411249378	"NKX3-2/PTH1R/CST5"	3
"M2"	"Folate Metabolism WP176"	"Folate Metabolism WP176"	"3/86"	"66/6201"	0.0631500687233467	0.511264852399448	0.486349411249378	"IL4/F7/CRP"	3
"M2"	"Dopaminergic Neurogenesis WP2855"	"Dopaminergic Neurogenesis WP2855"	"2/86"	"30/6201"	0.0643814999317824	0.511264852399448	0.486349411249378	"NKX6-1/RET"	2
"M2"	"Peptide GPCRs WP24"	"Peptide GPCRs WP24"	"3/86"	"74/6201"	0.0827915523663049	0.620936642747286	0.590676572437965	"HCRTR2/NMBR/MC5R"	3
"M2"	"Adipogenesis WP236"	"Adipogenesis WP236"	"4/86"	"130/6201"	0.105756305876471	0.62608944175579	0.595578260383675	"LEP/AGT/EBF1/ID3"	4
"M2"	"Vitamin D Receptor Pathway WP2877"	"Vitamin D Receptor Pathway WP2877"	"5/86"	"182/6201"	0.107645211658457	0.62608944175579	0.595578260383675	"KRTAP4-1/ORM2/SLC34A2/ORM1/KRT34"	5
"M2"	"Splicing factor NOVA regulated synaptic proteins WP4148"	"Splicing factor NOVA regulated synaptic proteins WP4148"	"2/86"	"42/6201"	0.11472857488735	0.62608944175579	0.595578260383675	"KCNJ6/GRIN2B"	2
"M2"	"IL-6 signaling pathway WP364"	"IL-6 signaling pathway WP364"	"2/86"	"43/6201"	0.119284624501646	0.62608944175579	0.595578260383675	"AGT/CRP"	2
"M2"	"Allograft Rejection WP2328"	"Allograft Rejection WP2328"	"3/86"	"89/6201"	0.125586924651469	0.62608944175579	0.595578260383675	"PDGFRA/IL4/CXCL12"	3
"M2"	"Leptin and adiponectin WP3934"	"Leptin and adiponectin WP3934"	"1/86"	"10/6201"	0.130433238560766	0.62608944175579	0.595578260383675	"LEP"	1
"M2"	"Steroid Biosynthesis WP496"	"Steroid Biosynthesis WP496"	"1/86"	"10/6201"	0.130433238560766	0.62608944175579	0.595578260383675	"HSD3B2"	1
"M2"	"NAD metabolism, sirtuins and aging WP3630"	"NAD metabolism, sirtuins and aging WP3630"	"1/86"	"11/6201"	0.142512505477868	0.62608944175579	0.595578260383675	"ROS1"	1
"M2"	"Rett syndrome causing genes WP4312"	"Rett syndrome causing genes WP4312"	"2/86"	"48/6201"	0.142696693444242	0.62608944175579	0.595578260383675	"SCN1A/GRIN2B"	2
"M2"	"Vitamin B12 Metabolism WP1533"	"Vitamin B12 Metabolism WP1533"	"2/86"	"50/6201"	0.15231948268342	0.62608944175579	0.595578260383675	"F7/CRP"	2
"M2"	"BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation WP3876"	"BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation WP3876"	"1/86"	"13/6201"	0.166175679425127	0.62608944175579	0.595578260383675	"LEFTY2"	1
"M2"	"Cell Differentiation - Index WP2029"	"Cell Differentiation - Index WP2029"	"1/86"	"13/6201"	0.166175679425127	0.62608944175579	0.595578260383675	"LEFTY2"	1
"M2"	"Cell-type Dependent Selectivity of CCK2R Signaling WP3679"	"Cell-type Dependent Selectivity of CCK2R Signaling WP3679"	"1/86"	"13/6201"	0.166175679425127	0.62608944175579	0.595578260383675	"RYR3"	1
"M2"	"Irinotecan Pathway WP229"	"Irinotecan Pathway WP229"	"1/86"	"13/6201"	0.166175679425127	0.62608944175579	0.595578260383675	"SLCO1B1"	1
"M2"	"MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301"	"MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301"	"1/86"	"13/6201"	0.166175679425127	0.62608944175579	0.595578260383675	"RYR3"	1
"M2"	"Cardiac Progenitor Differentiation WP2406"	"Cardiac Progenitor Differentiation WP2406"	"2/86"	"53/6201"	0.166983749054003	0.62608944175579	0.595578260383675	"PDGFRA/TNNI3"	2
"M2"	"Phosphodiesterases in neuronal function WP4222"	"Phosphodiesterases in neuronal function WP4222"	"2/86"	"53/6201"	0.166983749054003	0.62608944175579	0.595578260383675	"GRIN2B/DRD1"	2
"M2"	"Codeine and Morphine Metabolism WP1604"	"Codeine and Morphine Metabolism WP1604"	"1/86"	"15/6201"	0.189193231410466	0.62608944175579	0.595578260383675	"SLCO1B1"	1
"M2"	"Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813"	"Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813"	"1/86"	"15/6201"	0.189193231410466	0.62608944175579	0.595578260383675	"NRG3"	1
"M2"	"Role of Osx and miRNAs in tooth development WP3971"	"Role of Osx and miRNAs in tooth development WP3971"	"1/86"	"15/6201"	0.189193231410466	0.62608944175579	0.595578260383675	"DMP1"	1
"M2"	"ID signaling pathway WP53"	"ID signaling pathway WP53"	"1/86"	"16/6201"	0.200465359134148	0.62608944175579	0.595578260383675	"ID3"	1
"M2"	"ACE Inhibitor Pathway WP554"	"ACE Inhibitor Pathway WP554"	"1/86"	"17/6201"	0.211582574835759	0.62608944175579	0.595578260383675	"AGT"	1
"M2"	"Drug Induction of Bile Acid Pathway WP2289"	"Drug Induction of Bile Acid Pathway WP2289"	"1/86"	"17/6201"	0.211582574835759	0.62608944175579	0.595578260383675	"SLCO1B1"	1
"M2"	"Leptin Insulin Overlap WP3935"	"Leptin Insulin Overlap WP3935"	"1/86"	"17/6201"	0.211582574835759	0.62608944175579	0.595578260383675	"LEP"	1
"M2"	"Sulfation Biotransformation Reaction WP692"	"Sulfation Biotransformation Reaction WP692"	"1/86"	"17/6201"	0.211582574835759	0.62608944175579	0.595578260383675	"SULT4A1"	1
"M2"	"Lung fibrosis WP3624"	"Lung fibrosis WP3624"	"2/86"	"63/6201"	0.217324340948683	0.62608944175579	0.595578260383675	"SFTPC/IL4"	2
"M2"	"Estrogen metabolism WP697"	"Estrogen metabolism WP697"	"1/86"	"18/6201"	0.222546982753632	0.62608944175579	0.595578260383675	"GSTM1"	1
"M2"	"Spinal Cord Injury WP2431"	"Spinal Cord Injury WP2431"	"3/86"	"118/6201"	0.22448568881362	0.62608944175579	0.595578260383675	"ROS1/LEP/IL4"	3
"M2"	"Cell Differentiation - Index expanded WP2023"	"Cell Differentiation - Index expanded WP2023"	"1/86"	"19/6201"	0.233360658879006	0.62608944175579	0.595578260383675	"LEFTY2"	1
"M2"	"Overview of nanoparticle effects WP3287"	"Overview of nanoparticle effects WP3287"	"1/86"	"19/6201"	0.233360658879006	0.62608944175579	0.595578260383675	"CRP"	1
"M2"	"BMP Signaling Pathway in Eyelid Development WP3927"	"BMP Signaling Pathway in Eyelid Development WP3927"	"1/86"	"20/6201"	0.244025651330705	0.62608944175579	0.595578260383675	"DKK2"	1
"M2"	"Imatinib and Chronic Myeloid Leukemia WP3640"	"Imatinib and Chronic Myeloid Leukemia WP3640"	"1/86"	"20/6201"	0.244025651330705	0.62608944175579	0.595578260383675	"PDGFRA"	1
"M2"	"AMP-activated Protein Kinase (AMPK) Signaling WP1403"	"AMP-activated Protein Kinase (AMPK) Signaling WP1403"	"2/86"	"69/6201"	0.248166899612614	0.62608944175579	0.595578260383675	"LEP/GYS2"	2
"M2"	"Metapathway biotransformation Phase I and II WP702"	"Metapathway biotransformation Phase I and II WP702"	"4/86"	"183/6201"	0.248298494489415	0.62608944175579	0.595578260383675	"GSTM1/SULT4A1/UGT2B15/CYP11B1"	4
"M2"	"Tamoxifen metabolism WP691"	"Tamoxifen metabolism WP691"	"1/86"	"21/6201"	0.254543980724907	0.62608944175579	0.595578260383675	"UGT2B15"	1
"M2"	"Transcription factor regulation in adipogenesis WP3599"	"Transcription factor regulation in adipogenesis WP3599"	"1/86"	"22/6201"	0.264917640540062	0.62608944175579	0.595578260383675	"LEP"	1
"M2"	"Type II diabetes mellitus WP1584"	"Type II diabetes mellitus WP1584"	"1/86"	"22/6201"	0.264917640540062	0.62608944175579	0.595578260383675	"CACNA1A"	1
"M2"	"Arrhythmogenic Right Ventricular Cardiomyopathy WP2118"	"Arrhythmogenic Right Ventricular Cardiomyopathy WP2118"	"2/86"	"74/6201"	0.27399551676458	0.62608944175579	0.595578260383675	"SGCD/SGCG"	2
"M2"	"Blood Clotting Cascade WP272"	"Blood Clotting Cascade WP272"	"1/86"	"23/6201"	0.275148597477034	0.62608944175579	0.595578260383675	"F7"	1
"M2"	"Glutathione metabolism WP100"	"Glutathione metabolism WP100"	"1/86"	"23/6201"	0.275148597477034	0.62608944175579	0.595578260383675	"GSTM1"	1
"M2"	"Angiogenesis WP1539"	"Angiogenesis WP1539"	"1/86"	"24/6201"	0.285238791814518	0.62608944175579	0.595578260383675	"PDGFRA"	1
"M2"	"Differentiation of white and brown adipocyte    WP2895"	"Differentiation of white and brown adipocyte    WP2895"	"1/86"	"25/6201"	0.295190137759791	0.62608944175579	0.595578260383675	"LEP"	1
"M2"	"Physiological and Pathological Hypertrophy  of the Heart WP1528"	"Physiological and Pathological Hypertrophy  of the Heart WP1528"	"1/86"	"25/6201"	0.295190137759791	0.62608944175579	0.595578260383675	"AGT"	1
"M2"	"Cytokines and Inflammatory Response WP530"	"Cytokines and Inflammatory Response WP530"	"1/86"	"26/6201"	0.305004523794872	0.62608944175579	0.595578260383675	"IL4"	1
"M2"	"Glucuronidation WP698"	"Glucuronidation WP698"	"1/86"	"26/6201"	0.305004523794872	0.62608944175579	0.595578260383675	"UGT2B15"	1
"M2"	"Alzheimers Disease WP2059"	"Alzheimers Disease WP2059"	"2/86"	"83/6201"	0.320349080325956	0.62608944175579	0.595578260383675	"RYR3/GRIN2B"	2
"M2"	"Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380"	"Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380"	"3/86"	"144/6201"	0.32246175666859	0.62608944175579	0.595578260383675	"GRIA2/GRIA3/GRIN2B"	3
"M2"	"Viral Acute Myocarditis WP4298"	"Viral Acute Myocarditis WP4298"	"2/86"	"84/6201"	0.32546652499695	0.62608944175579	0.595578260383675	"SGCD/SGCG"	2
"M2"	"Selective expression of chemokine receptors during T-cell polarization WP4494"	"Selective expression of chemokine receptors during T-cell polarization WP4494"	"1/86"	"29/6201"	0.333644428522844	0.62608944175579	0.595578260383675	"IL4"	1
"M2"	"Selenium Micronutrient Network WP15"	"Selenium Micronutrient Network WP15"	"2/86"	"86/6201"	0.335672303862656	0.62608944175579	0.595578260383675	"F7/CRP"	2
"M2"	"Calcium Regulation in the Cardiac Cell WP536"	"Calcium Regulation in the Cardiac Cell WP536"	"3/86"	"149/6201"	0.341584816686961	0.62608944175579	0.595578260383675	"RYR3/RGS6/CACNA1A"	3
"M2"	"Inflammatory Response Pathway WP453"	"Inflammatory Response Pathway WP453"	"1/86"	"30/6201"	0.342929357094949	0.62608944175579	0.595578260383675	"IL4"	1
"M2"	"GABA receptor Signaling WP4159"	"GABA receptor Signaling WP4159"	"1/86"	"31/6201"	0.352086394088926	0.62608944175579	0.595578260383675	"SLC32A1"	1
"M2"	"Tumor suppressor activity of SMARCB1 WP4204"	"Tumor suppressor activity of SMARCB1 WP4204"	"1/86"	"31/6201"	0.352086394088926	0.62608944175579	0.595578260383675	"DPF1"	1
"M2"	"Development and heterogeneity of the ILC family WP3893"	"Development and heterogeneity of the ILC family WP3893"	"1/86"	"32/6201"	0.3611172806543	0.62608944175579	0.595578260383675	"IL4"	1
"M2"	"Monoamine Transport WP727"	"Monoamine Transport WP727"	"1/86"	"32/6201"	0.3611172806543	0.62608944175579	0.595578260383675	"AGT"	1
"M2"	"White fat cell differentiation WP4149"	"White fat cell differentiation WP4149"	"1/86"	"32/6201"	0.3611172806543	0.62608944175579	0.595578260383675	"EBF1"	1
"M2"	"Myometrial Relaxation and Contraction Pathways WP289"	"Myometrial Relaxation and Contraction Pathways WP289"	"3/86"	"156/6201"	0.368300280832858	0.62608944175579	0.595578260383675	"GUCA2B/RYR3/RGS6"	3
"M2"	"Monoamine GPCRs WP58"	"Monoamine GPCRs WP58"	"1/86"	"33/6201"	0.370023734514525	0.62608944175579	0.595578260383675	"DRD1"	1
"M2"	"Pregnane X Receptor pathway WP2876"	"Pregnane X Receptor pathway WP2876"	"1/86"	"33/6201"	0.370023734514525	0.62608944175579	0.595578260383675	"SLCO1B1"	1
"M2"	"Prion disease pathway WP3995"	"Prion disease pathway WP3995"	"1/86"	"33/6201"	0.370023734514525	0.62608944175579	0.595578260383675	"EBF1"	1
"M2"	"Corticotropin-releasing hormone signaling pathway WP2355"	"Corticotropin-releasing hormone signaling pathway WP2355"	"2/86"	"93/6201"	0.371015965484913	0.62608944175579	0.595578260383675	"HSD3B2/CYP11B1"	2
"M2"	"Epithelial to mesenchymal transition in colorectal cancer WP4239"	"Epithelial to mesenchymal transition in colorectal cancer WP4239"	"3/86"	"159/6201"	0.379703785753011	0.632839642921685	0.601999504377744	"CLDN18/PROX1/CLDN19"	3
"M2"	"Melatonin metabolism and effects WP3298"	"Melatonin metabolism and effects WP3298"	"1/86"	"37/6201"	0.404438774787022	0.665844324344487	0.63339577052653	"MTNR1B"	1
"M2"	"Striated Muscle Contraction Pathway WP383"	"Striated Muscle Contraction Pathway WP383"	"1/86"	"38/6201"	0.412748032633926	0.671337161513012	0.638620925571832	"TNNI3"	1
"M2"	"Glycogen Synthesis and Degradation WP500"	"Glycogen Synthesis and Degradation WP500"	"1/86"	"40/6201"	0.429024307099156	0.689503350695072	0.655901822883422	"GYS2"	1
"M2"	"Prostaglandin Synthesis and Regulation WP98"	"Prostaglandin Synthesis and Regulation WP98"	"1/86"	"45/6201"	0.467790032785839	0.740286950705426	0.704210588585278	"PTGER3"	1
"M2"	"Aryl Hydrocarbon Receptor WP2586"	"Aryl Hydrocarbon Receptor WP2586"	"1/86"	"46/6201"	0.475225064816446	0.740286950705426	0.704210588585278	"RET"	1
"M2"	"Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534"	"Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534"	"1/86"	"47/6201"	0.482557419719092	0.740286950705426	0.704210588585278	"ACTG2"	1
"M2"	"NO/cGMP/PKG mediated Neuroprotection WP4008"	"NO/cGMP/PKG mediated Neuroprotection WP4008"	"1/86"	"47/6201"	0.482557419719092	0.740286950705426	0.704210588585278	"GRIN2B"	1
"M2"	"Photodynamic therapy-induced AP-1 survival signaling. WP3611"	"Photodynamic therapy-induced AP-1 survival signaling. WP3611"	"1/86"	"50/6201"	0.503952342461666	0.755928513692499	0.719089892167523	"PDGFRA"	1
"M2"	"Synaptic signaling pathways associated with autism spectrum disorder WP4539"	"Synaptic signaling pathways associated with autism spectrum disorder WP4539"	"1/86"	"50/6201"	0.503952342461666	0.755928513692499	0.719089892167523	"GRIN2B"	1
"M2"	"PI3K-Akt Signaling Pathway WP4172"	"PI3K-Akt Signaling Pathway WP4172"	"5/86"	"340/6201"	0.512831014503067	0.7565694452618	0.71969958925489	"PDGFRA/COL6A6/IL4/GYS2/COMP"	5
"M2"	"Focal Adhesion WP306"	"Focal Adhesion WP306"	"3/86"	"198/6201"	0.521736593150849	0.7565694452618	0.71969958925489	"PDGFRA/CAV3/COMP"	3
"M2"	"IL-4 Signaling Pathway WP395"	"IL-4 Signaling Pathway WP395"	"1/86"	"54/6201"	0.531124320495205	0.7565694452618	0.71969958925489	"IL4"	1
"M2"	"TGF-beta Receptor Signaling WP560"	"TGF-beta Receptor Signaling WP560"	"1/86"	"54/6201"	0.531124320495205	0.7565694452618	0.71969958925489	"LEFTY2"	1
"M2"	"Pathogenic Escherichia coli infection WP2272"	"Pathogenic Escherichia coli infection WP2272"	"1/86"	"55/6201"	0.537684155933209	0.7565694452618	0.71969958925489	"TUBB8"	1
"M2"	"Ebola Virus Pathway on Host WP4217"	"Ebola Virus Pathway on Host WP4217"	"2/86"	"129/6201"	0.538004938852836	0.7565694452618	0.71969958925489	"IL4/CAV3"	2
"M2"	"Complement and Coagulation Cascades WP558"	"Complement and Coagulation Cascades WP558"	"1/86"	"58/6201"	0.556824265726374	0.761268707180399	0.72416984230806	"F7"	1
"M2"	"Preimplantation Embryo WP3527"	"Preimplantation Embryo WP3527"	"1/86"	"58/6201"	0.556824265726374	0.761268707180399	0.72416984230806	"PADI6"	1
"M2"	"RIG-I-like Receptor Signaling WP3865"	"RIG-I-like Receptor Signaling WP3865"	"1/86"	"60/6201"	0.56914703531342	0.761268707180399	0.72416984230806	"CXCL12"	1
"M2"	"Ectoderm Differentiation WP2858"	"Ectoderm Differentiation WP2858"	"2/86"	"138/6201"	0.574866042801977	0.761268707180399	0.72416984230806	"CTNND2/LHX1"	2
"M2"	"Oxidation by Cytochrome P450 WP43"	"Oxidation by Cytochrome P450 WP43"	"1/86"	"61/6201"	0.575180800980746	0.761268707180399	0.72416984230806	"CYP11B1"	1
"M2"	"Prader-Willi and Angelman Syndrome WP3998"	"Prader-Willi and Angelman Syndrome WP3998"	"1/86"	"61/6201"	0.575180800980746	0.761268707180399	0.72416984230806	"SLC45A2"	1
"M2"	"T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863"	"T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863"	"1/86"	"62/6201"	0.581131037318801	0.761676602311049	0.724557859508367	"IL4"	1
"M2"	"Genotoxicity pathway WP4286"	"Genotoxicity pathway WP4286"	"1/86"	"63/6201"	0.586998887260254	0.761969709424369	0.724836682649302	"SEMG2"	1
"M2"	"Pathways Affected in Adenoid Cystic Carcinoma WP3651"	"Pathways Affected in Adenoid Cystic Carcinoma WP3651"	"1/86"	"65/6201"	0.598491922615034	0.76920822980216	0.731722448622718	"CNTN6"	1
"M2"	"NRF2 pathway WP2884"	"NRF2 pathway WP2884"	"2/86"	"146/6201"	0.605828913523699	0.76920822980216	0.731722448622718	"GSTM1/SLC6A7"	2
"M2"	"PPAR signaling pathway WP3942"	"PPAR signaling pathway WP3942"	"1/86"	"67/6201"	0.609668745102453	0.76920822980216	0.731722448622718	"SLC27A6"	1
"M2"	"Parkin-Ubiquitin Proteasomal System pathway WP2359"	"Parkin-Ubiquitin Proteasomal System pathway WP2359"	"1/86"	"70/6201"	0.625859829989499	0.782324787486874	0.744199797843264	"TUBB8"	1
"M2"	"Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706"	"Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706"	"2/86"	"158/6201"	0.649073861895549	0.803898819778891	0.764722464039179	"CAV3/RET"	2
"M2"	"Leptin signaling pathway WP2034"	"Leptin signaling pathway WP2034"	"1/86"	"76/6201"	0.656276561071453	0.805430324951329	0.766179334456625	"LEP"	1
"M2"	"Signaling Pathways in Glioblastoma WP2261"	"Signaling Pathways in Glioblastoma WP2261"	"1/86"	"82/6201"	0.684246907790944	0.83087936143761	0.79038816448646	"PDGFRA"	1
"M2"	"MicroRNAs in cardiomyocyte hypertrophy WP1544"	"MicroRNAs in cardiomyocyte hypertrophy WP1544"	"1/86"	"84/6201"	0.693060808598491	0.83087936143761	0.79038816448646	"AGT"	1
